tweet_id,text,favorite_count,retweet_count,created_at
1652677323466895361,Read more LAHORE Former prime minister and Pakistan Muslim LeagueNawaz PMLN chief Na,0,0,Sun Apr 30 14:12:33 +0000 2023
1652676961766916096,RT lucifer1970 I feel sorry for AsadUmar who is striving to become relevant ever since he was brutally the booted from the post of Mini,0,14,Sun Apr 30 14:11:07 +0000 2023
1652676291097772038,RT AhmadRehanKhan Then they ask why doctors are leaving Pakistan In this inflation how can one support himherself and their familie,0,9,Sun Apr 30 14:08:27 +0000 2023
1652674046398550016,RT rizwanmedia BradSherman Pakistan Politics Elections2023 PTI imranKhanPTI US Congressman Raises Concerns Over Alleged Persecut,0,49,Sun Apr 30 13:59:32 +0000 2023
1652673455416852482,EhsanToorPTI I m telling you Boss You are missing this opportunity y r u not going to ImranKhanPTI sb and d,3,0,Sun Apr 30 13:57:11 +0000 2023
1652673179762978818,While ImranKhan led PTI has made several attempts to call for early elections PMLN led PDM government has SO F,0,0,Sun Apr 30 13:56:05 +0000 2023
1652672086475784194,RT SaleemFarrukh ALERT PTI is putting critical Pakistani institutions at risk with their dangerous political agenda Theyre spreadi,0,419,Sun Apr 30 13:51:45 +0000 2023
1652670525489967107,RT amberdanishh I made this vlog on December 29th 2020 when PTI accepted the incorrect results of Census2017 and concluded that Karachi,0,21,Sun Apr 30 13:45:33 +0000 2023
1652670363287920641,Grt to uCngrsmnBradSherman InsafPK Also praying PTI will be supervigilant in vote counting We outside,0,0,Sun Apr 30 13:44:54 +0000 2023
1652669775854567426,NawazSharif Nawaz Sharif to PTI supporters,0,0,Sun Apr 30 13:42:34 +0000 2023
1652669702039040000,RT paro1 PTIpromotionFBparo1Iqra4291Mahi0J1IKshz7891AZMo28pti1H50k1fzall1tmy950nkGhz97paro2S1,0,69,Sun Apr 30 13:42:16 +0000 2023
1652669604127477760,MNA NA 242 Saif ur Rehman ExGS Karachi Division is nominated as Senior Vice President Sindh Cabinet PTICongrat,0,0,Sun Apr 30 13:41:53 +0000 2023
1652669341844877389,why not Introduce lay man who genuinely have interest of the well being of their fellow human benings rather the,0,0,Sun Apr 30 13:40:50 +0000 2023
1652669334739906561,If you handed over tickets to those with a good decent bank balanceand those who contribute to PTIwill t,0,0,Sun Apr 30 13:40:49 +0000 2023
1652669061044617216,Prime Minister of Pakistan 2023 imranKhanPTIEidAlFitr20239thaprilblackday pti,0,0,Sun Apr 30 13:39:43 +0000 2023
1652668934162882560,RT SaleemFarrukh ALERT PTI is putting critical Pakistani institutions at risk with their dangerous political agenda Theyre spreadi,0,419,Sun Apr 30 13:39:13 +0000 2023
1652668390774026240,RT paro1 PTIpromotionFBparo1Iqra4291Mahi0J1IKshz7891AZMo28pti1H50k1fzall1tmy950nkGhz97paro2S1,0,69,Sun Apr 30 13:37:04 +0000 2023
1652667497907363842,RT paro1 PTIpromotionFBparo1Iqra4291Mahi0J1IKshz7891AZMo28pti1H50k1fzall1tmy950nkGhz97paro2S1,0,69,Sun Apr 30 13:33:31 +0000 2023
1652667131660566530,RT lucifer1970 I feel sorry for AsadUmar who is striving to become relevant ever since he was brutally the booted from the post of Mini,0,14,Sun Apr 30 13:32:03 +0000 2023
1652667086525612033,RT ShahzadmemonPPP Because of the Good governance of PTI the Director General of the World Health Organization has submitted a report t,0,3,Sun Apr 30 13:31:53 +0000 2023
1652667061238222848,Fallibilist1 OfficialDGISPR Stop this lands greedWe want everyone of you to declare ya assets now,0,0,Sun Apr 30 13:31:47 +0000 2023
